0	0	110	341
1	0	82	486
2	0	89	308
3	0	108	438
4	0	97	632
5	0	74	219
6	0	94	237
7	0	96	208
8	0	100	264
9	0	122	422
10	0	146	619
11	0	116	401
12	0	115	220
13	0	121	284
14	0	72	505
15	0	117	564
16	0	95	321
17	0	103	229
18	0	69	215
19	0	133	358
20	0	99	443
21	0	92	275
22	0	101	744
23	0	122	537
24	0	116	225
25	0	124	334
26	0	124	429
27	0	104	267
28	0	97	514
29	0	118	445
30	0	94	180
31	0	93	189
32	0	114	1169
33	0	113	227
34	0	107	370
35	0	95	285
36	0	85	218
37	0	97	3064
38	0	116	401
39	0	45	120
40	0	69	1583
41	0	126	3520
42	0	91	385
43	0	85	294
44	0	121	412
45	0	69	554
46	0	86	867
47	0	105	905
48	0	90	595
49	0	108	243
