0	0	97	693
1	0	71	386
2	0	140	998
3	0	75	566
4	0	132	8973
5	0	115	635
6	0	105	1002
7	0	102	389
8	0	108	421
9	0	92	712
10	0	111	714
11	0	111	463
12	0	118	470
13	0	79	532
14	0	105	750
15	0	97	462
16	0	138	554
17	0	65	643
18	0	113	5753
19	0	89	386
20	0	79	413
21	0	126	630
22	0	119	1679
23	0	118	1332
24	0	144	620
25	0	114	1081
26	0	76	282
27	0	100	1350
28	0	80	572
29	0	107	765
30	0	98	700
31	0	111	705
32	0	116	829
33	0	132	584
34	0	89	381
35	0	113	932
36	0	78	499
37	0	121	736
38	0	119	3285
39	0	85	308
40	0	100	926
41	0	138	771
42	0	71	641
43	0	106	758
44	0	80	298
45	0	83	414
46	0	117	1095
47	0	111	3403
48	0	121	732
49	0	128	544
